nodes,target,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,coalesced,on,always,none,256,1000,1,0.004168,0.004421,,,0,0
1000,gpu,coalesced,on,always,none,256,1000,2,0.004170,0.004421,,,0,0
1000,gpu,coalesced,on,always,none,256,1000,3,0.004168,0.004422,,,0,0
1000,gpu,coalesced,on,always,none,256,1000,4,0.004171,0.004435,,,0,0
1000,gpu,coalesced,on,always,none,256,1000,5,0.004169,0.004419,,,0,0
1000,gpu,coalesced,off,always,none,256,1000,1,0.004175,0.004428,,,0,0
1000,gpu,coalesced,off,always,none,256,1000,2,0.004176,0.004428,,,0,0
1000,gpu,coalesced,off,always,none,256,1000,3,0.004170,0.004422,,,0,0
1000,gpu,coalesced,off,always,none,256,1000,4,0.004171,0.004423,,,0,0
1000,gpu,coalesced,off,always,none,256,1000,5,0.004175,0.004426,,,0,0
1000,gpu,coalesced,on,changed,none,256,1000,1,0.003915,0.004177,,,0,0
1000,gpu,coalesced,on,changed,none,256,1000,2,0.003913,0.004165,,,0,0
1000,gpu,coalesced,on,changed,none,256,1000,3,0.003913,0.004168,,,0,0
1000,gpu,coalesced,on,changed,none,256,1000,4,0.003914,0.004168,,,0,0
1000,gpu,coalesced,on,changed,none,256,1000,5,0.003913,0.004167,,,0,0
1000,gpu,coalesced,off,changed,none,256,1000,1,0.003883,0.004138,,,0,0
1000,gpu,coalesced,off,changed,none,256,1000,2,0.003883,0.004137,,,0,0
1000,gpu,coalesced,off,changed,none,256,1000,3,0.003882,0.004138,,,0,0
1000,gpu,coalesced,off,changed,none,256,1000,4,0.003883,0.004132,,,0,0
1000,gpu,coalesced,off,changed,none,256,1000,5,0.003883,0.004134,,,0,0
2000,gpu,coalesced,on,always,none,256,1056,1,0.016218,0.017054,,,0,0
2000,gpu,coalesced,on,always,none,256,1056,2,0.016216,0.017054,,,0,0
2000,gpu,coalesced,on,always,none,256,1056,3,0.016210,0.017044,,,0,0
2000,gpu,coalesced,on,always,none,256,1056,4,0.016215,0.017049,,,0,0
2000,gpu,coalesced,on,always,none,256,1056,5,0.016238,0.017076,,,0,0
2000,gpu,coalesced,off,always,none,256,1056,1,0.016196,0.017026,,,0,0
2000,gpu,coalesced,off,always,none,256,1056,2,0.016191,0.017019,,,0,0
2000,gpu,coalesced,off,always,none,256,1056,3,0.016198,0.017012,,,0,0
2000,gpu,coalesced,off,always,none,256,1056,4,0.016194,0.017009,,,0,0
2000,gpu,coalesced,off,always,none,256,1056,5,0.016197,0.017014,,,0,0
2000,gpu,coalesced,on,changed,none,256,1056,1,0.014071,0.014895,,,0,0
2000,gpu,coalesced,on,changed,none,256,1056,2,0.014069,0.014895,,,0,0
2000,gpu,coalesced,on,changed,none,256,1056,3,0.014075,0.014901,,,0,0
2000,gpu,coalesced,on,changed,none,256,1056,4,0.014088,0.014911,,,0,0
2000,gpu,coalesced,on,changed,none,256,1056,5,0.014111,0.014939,,,0,0
2000,gpu,coalesced,off,changed,none,256,1056,1,0.013764,0.014599,,,0,0
2000,gpu,coalesced,off,changed,none,256,1056,2,0.013771,0.014598,,,0,0
2000,gpu,coalesced,off,changed,none,256,1056,3,0.013777,0.014605,,,0,0
2000,gpu,coalesced,off,changed,none,256,1056,4,0.013774,0.014607,,,0,0
2000,gpu,coalesced,off,changed,none,256,1056,5,0.013777,0.014602,,,0,0
