nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,1,0.001232,0.001487,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,2,0.001228,0.001486,0.148,140.368,2,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,3,0.001225,0.001485,0.148,140.368,2,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,4,0.001225,0.001479,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,5,0.001228,0.001483,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,1,0.001230,0.001489,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,2,0.001224,0.001484,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,3,0.001230,0.001489,,,1,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,4,0.001231,0.001487,0.100,94.802,2,0.000,0
1000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,5,0.001230,0.001488,,,1,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,1,0.004108,0.004960,0.399,94.679,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,2,0.004122,0.004973,0.399,94.679,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,3,0.004138,0.004981,0.397,94.775,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,4,0.004135,0.004981,0.401,95.158,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,5,0.004087,0.004933,0.301,95.158,4,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,1,0.004103,0.004953,0.305,96.393,4,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,2,0.004116,0.004969,0.406,96.393,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,3,0.004120,0.004968,0.406,96.338,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,4,0.004121,0.004967,0.406,96.338,5,0.000,0
2000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,5,0.004072,0.004918,0.305,96.338,4,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,1,0.010577,0.012491,1.121,96.706,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,2,0.010618,0.012548,1.124,96.979,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,3,0.010601,0.012521,1.122,96.979,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,4,0.010570,0.012491,1.122,96.979,12,13.336,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,5,0.010564,0.012489,1.122,96.979,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,1,0.010614,0.012544,1.155,99.609,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,2,0.010578,0.012548,1.152,99.780,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,3,0.010537,0.012496,1.164,100.634,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,4,0.010531,0.012486,1.164,100.634,12,0.000,0
3000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,5,0.010535,0.012501,1.164,100.634,12,0.000,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,1,0.069968,0.077527,8.392,109.289,74,22.097,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,2,0.069772,0.077323,9.224,120.051,74,22.757,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,3,0.069763,0.077302,10.100,133.281,73,22.116,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,4,0.069767,0.077329,10.880,143.567,73,21.816,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,5,0.069873,0.077424,11.723,152.573,74,21.661,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,1,0.069847,0.077447,11.095,144.398,74,0.000,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,2,0.069745,0.077328,11.010,143.287,74,0.000,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,3,0.069772,0.077383,10.926,142.200,74,0.000,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,4,0.069873,0.078285,11.075,142.204,75,0.000,0
6000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,5,0.069778,0.077351,11.502,149.673,74,0.000,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,1,0.519346,0.548987,122.205,223.261,521,133.844,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,2,0.519326,0.548608,139.957,255.710,521,154.398,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,3,0.519368,0.548780,139.945,255.683,521,154.189,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,4,0.519343,0.548616,139.854,255.526,521,153.562,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,5,0.519368,0.548883,140.238,256.218,521,153.353,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,1,0.519388,0.548930,122.282,223.375,521,152.602,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,2,0.519349,0.548705,138.312,252.710,521,152.274,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,3,0.519314,0.548526,138.493,253.038,521,152.316,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,4,0.519290,0.548428,138.606,253.244,521,152.393,0
12000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,5,0.519340,0.548658,139.742,255.307,521,128.729,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,1,4.071422,4.187755,1137.930,271.755,3979,1163.441,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,2,4.071231,4.187621,1141.285,272.623,3978,1165.518,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,3,4.071184,4.187205,1145.932,273.733,3978,1164.879,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,4,4.070922,4.186928,1146.662,273.968,3977,1173.315,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,5,4.070874,4.186837,1148.408,274.324,3978,1174.927,0
24000,chain,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,561001,1,4.070576,4.187108,1154.073,275.677,3978,1179.398,0
