nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,1,0.008278,0.008527,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,2,0.008274,0.008528,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,3,0.008270,0.008519,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,4,0.008285,0.008535,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,5,0.008276,0.008526,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,1,0.008270,0.008521,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,2,0.008251,0.008506,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,3,0.008259,0.008512,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,4,0.008256,0.008511,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,5,0.008268,0.008519,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.022820,0.023661,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.022908,0.023738,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.022891,0.023719,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.022898,0.023724,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.022866,0.023689,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.022511,0.023345,,,0,0
