nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.042784,0.042784,8.148,190.433,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.039342,0.039342,8.225,209.056,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.038234,0.038234,8.144,212.996,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.042979,0.042979,8.199,190.759,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.040863,0.040863,8.110,198.459,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.173264,0.173264,20.447,118.011,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.169053,0.169053,20.410,120.731,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.180670,0.180670,20.541,113.695,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.174776,0.174776,20.545,117.550,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.168785,0.168785,20.505,121.483,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.410477,0.410477,56.074,136.608,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.433987,0.433987,56.258,129.631,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.417838,0.417838,56.159,134.404,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.421199,0.421199,56.465,134.057,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.400893,0.400893,56.310,140.460,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,11.914063,11.914063,1370.275,115.013,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,11.741001,11.741001,1361.725,115.980,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,11.944989,11.944989,1384.681,115.922,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,11.771519,11.771519,1366.954,116.124,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,12.274945,12.274945,1417.513,115.480,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,105.220451,105.220451,12279.598,116.704,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,105.955745,105.955745,12369.751,116.745,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,106.059189,106.059189,12377.242,116.701,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,106.277603,106.277603,12389.646,116.578,0,,
12000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,105.010849,105.010849,12270.113,116.846,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,572.339816,572.339816,69842.443,122.030,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,573.922407,573.922407,70076.079,122.100,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,582.491317,582.491317,71101.534,122.065,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,582.011893,582.011893,71036.699,122.054,0,,
24000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,580.266216,580.266216,70788.998,121.994,0,,
