nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,0.007395,0.007395,,,0,,
1000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,0.007393,0.007393,,,0,,
1000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,0.007341,0.007341,,,0,,
1000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,0.007400,0.007400,,,0,,
1000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,0.007301,0.007301,,,0,,
2000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,0.021736,0.021736,,,0,,
2000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,0.021658,0.021658,,,0,,
2000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,0.027138,0.027138,,,0,,
2000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,0.021728,0.021728,,,0,,
2000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,0.021750,0.021750,,,0,,
3000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,0.057765,0.057765,,,0,,
3000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,0.057742,0.057742,,,0,,
3000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,0.057686,0.057686,,,0,,
3000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,0.057624,0.057624,,,0,,
3000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,0.058853,0.058853,,,0,,
6000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,0.395402,0.395402,,,0,,
6000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,0.395218,0.395218,,,0,,
6000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,0.388948,0.388948,,,0,,
6000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,0.389209,0.389209,,,0,,
6000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,0.388536,0.388536,,,0,,
12000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,9.977369,9.977369,,,0,,
12000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,9.971841,9.971841,,,0,,
12000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,9.967289,9.967289,,,0,,
12000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,9.964064,9.964064,,,0,,
12000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,9.965383,9.965383,,,0,,
24000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,1,102.438553,102.438553,,,0,,
24000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,2,102.383095,102.383095,,,0,,
24000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,3,102.377509,102.377509,,,0,,
24000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,4,102.379995,102.379995,,,0,,
24000,scale-free,cpu,openmp-32,n/a,n/a,n/a,n/a,0,0,5,102.386170,102.386170,,,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.006133,0.006133,,,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.006083,0.006083,,,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.006050,0.006050,,,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.006070,0.006070,,,0,,
1000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.006082,0.006082,,,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.026389,0.026389,,,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.025999,0.025999,,,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.025803,0.025803,,,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.025831,0.025831,,,0,,
2000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.025873,0.025873,,,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.084790,0.084790,,,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.085051,0.085051,,,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.084786,0.084786,,,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.084874,0.084874,,,0,,
3000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.084632,0.084632,,,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,1.368092,1.368092,,,0,,
6000,scale-free,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,1.370777,1.370777,,,0,,
