nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,1,0.001225,0.001490,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,2,0.001228,0.001501,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,3,0.001235,0.001502,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,4,0.001233,0.001492,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,5,0.001234,0.001494,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,1,0.001225,0.001497,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,2,0.001223,0.001488,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,3,0.001218,0.001484,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,4,0.001228,0.001484,,,1,0.000,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,5,0.001226,0.001485,,,1,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,1,0.004119,0.005006,0.295,93.562,4,9.297,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,2,0.004134,0.004974,0.293,93.797,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,3,0.004135,0.004995,0.296,93.797,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,4,0.004137,0.004996,0.296,93.797,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,5,0.004069,0.004906,0.296,93.797,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,1,0.004113,0.004999,0.300,95.192,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,2,0.004115,0.004951,0.300,95.192,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,3,0.004121,0.004962,0.300,95.192,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,4,0.004130,0.004964,0.300,95.192,4,0.000,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,5,0.004076,0.004917,0.300,95.192,4,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,1,0.010669,0.012643,1.103,95.328,12,10.506,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,2,0.010665,0.012623,1.100,95.328,12,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,3,0.010629,0.012583,1.003,95.328,11,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,4,0.010568,0.012525,0.998,95.328,11,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,5,0.010579,0.012540,1.044,99.441,11,14.275,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,1,0.010625,0.012567,1.048,99.791,11,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,2,0.010624,0.012568,1.050,99.791,11,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,3,0.010601,0.012547,1.046,99.791,11,13.132,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,4,0.010564,0.012509,1.050,99.791,11,0.000,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,5,0.010612,0.012548,1.100,105.086,11,0.000,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,1,0.069856,0.077388,7.826,103.490,73,21.798,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,2,0.069855,0.077341,8.758,115.743,73,22.662,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,3,0.069847,0.077349,9.661,127.624,73,21.928,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,4,0.070053,0.077609,10.571,139.413,73,19.977,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,5,0.069813,0.077354,11.295,148.973,73,21.711,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,1,0.069889,0.077433,8.553,113.164,73,21.612,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,2,0.069855,0.077404,8.801,116.298,73,21.575,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,3,0.070761,0.078318,9.763,127.218,74,21.618,0
