nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.018488,0.019308,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.018458,0.019266,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.018452,0.019240,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.018459,0.019244,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.018450,0.019237,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.022252,0.023080,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.022252,0.023040,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.022272,0.023049,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.022244,0.023028,,,0,,0
1000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.022260,0.023040,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.099426,0.102467,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.099497,0.102470,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.099408,0.102333,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.099423,0.102342,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.099401,0.102295,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.089188,0.092202,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.089190,0.092207,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.089235,0.092155,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.089181,0.092076,,,0,,0
2000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.089189,0.092067,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.259281,0.265893,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.259366,0.265971,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.259284,0.265867,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.259332,0.265921,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.259387,0.266014,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.251130,0.257777,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.251158,0.257843,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.251123,0.257719,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.251226,0.257828,,,0,,0
3000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.251174,0.257748,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,1.793324,1.822220,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,1.793511,1.822426,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,1.793281,1.821912,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,1.793482,1.822553,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,1.793302,1.822267,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,1.655723,1.684619,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,1.655884,1.684807,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,1.655981,1.684840,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,1.655921,1.685271,,,0,,0
6000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,1.655898,1.685265,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,12.951009,13.060162,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,13.121936,13.231301,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,12.656066,12.765402,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,13.122686,13.231770,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,12.634120,12.743280,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,12.196003,12.308516,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,11.793454,11.905648,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,12.196585,12.308930,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,11.786996,11.899352,,,0,,0
12000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,12.196204,12.308456,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,98.283992,98.740954,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,98.093109,98.549541,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,98.213359,98.668831,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,98.218195,98.673789,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,97.799258,98.255709,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,93.722313,94.175451,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,93.889906,94.343237,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,93.862094,94.315660,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,93.859141,94.311681,,,0,,0
24000,scale-free,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,93.876375,94.330103,,,0,,0
