nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,1,0.008271,0.008526,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,2,0.008273,0.008523,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,3,0.008292,0.008550,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,4,0.008279,0.008530,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,5,0.008286,0.008541,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,1,0.008230,0.008481,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,2,0.008219,0.008478,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,3,0.008234,0.008486,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,4,0.008224,0.008477,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,5,0.008227,0.008478,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.022829,0.023741,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.022796,0.023624,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.022895,0.023718,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.022948,0.023772,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.022955,0.023791,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.022488,0.023351,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.022491,0.023322,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.022469,0.023296,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.022502,0.023325,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.022592,0.023408,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.049607,0.051585,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.049596,0.051529,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.049753,0.051685,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.049725,0.051653,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.049460,0.051390,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.049006,0.050965,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.049109,0.051056,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.049054,0.050978,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.049172,0.051107,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.049041,0.050967,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.486860,0.494514,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.486484,0.493951,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.486447,0.493914,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.486380,0.493823,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.486400,0.493834,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.470169,0.477804,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.469870,0.477299,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.469840,0.477284,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.469850,0.477277,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.469589,0.477019,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,3.219948,3.249205,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,3.219932,3.249179,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,3.219802,3.248931,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,3.219930,3.249486,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,3.219540,3.248881,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,3.171820,3.201083,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,3.165727,3.194948,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,3.165683,3.194928,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,3.165109,3.194364,,,0,,0
12000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,3.166477,3.195602,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,23.921197,24.037133,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,23.892342,24.007289,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,23.892529,24.008036,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,23.892529,24.007598,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,23.892236,24.007078,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,23.634357,23.750327,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,23.621033,23.737744,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,23.620656,23.736580,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,23.619605,23.735401,,,0,,0
24000,scale-free,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,23.618994,23.733725,,,0,,0
