nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,1,0.001233,0.001490,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,2,0.001237,0.001491,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,3,0.001223,0.001476,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,4,0.001224,0.001476,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,5,0.001234,0.001486,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,1,0.001220,0.001480,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,2,0.001231,0.001486,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,3,0.001224,0.001480,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,4,0.001227,0.001482,,,0,,0
1000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,5,0.001226,0.001480,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,1,0.004276,0.005277,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,2,0.004283,0.005278,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,3,0.004313,0.005308,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,4,0.004297,0.005291,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,5,0.004239,0.005230,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,1,0.004288,0.005283,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,2,0.004283,0.005280,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,3,0.004290,0.005287,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,4,0.004300,0.005298,,,0,,0
2000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,5,0.004250,0.005262,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,1,0.010633,0.012591,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,2,0.010676,0.012627,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,3,0.010618,0.012557,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,4,0.010629,0.012569,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,5,0.010646,0.012584,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,1,0.010683,0.012674,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,2,0.010671,0.012696,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,3,0.010640,0.012619,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,4,0.010643,0.012597,,,0,,0
3000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,5,0.010637,0.012609,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,1,0.069876,0.077300,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,2,0.069836,0.077316,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,3,0.069846,0.077266,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,4,0.070014,0.077419,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,5,0.069776,0.077201,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,1,0.069876,0.077337,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,2,0.069826,0.077275,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,3,0.070227,0.077678,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,4,0.070009,0.077471,,,0,,0
6000,scale-free,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,5,0.069793,0.077237,,,0,,0
