nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,1,0.001226,0.001482,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,2,0.001220,0.001480,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,3,0.001225,0.001494,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,4,0.001227,0.001482,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,961,5,0.001227,0.001484,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,1,0.001222,0.001476,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,2,0.001225,0.001483,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,3,0.001224,0.001481,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,4,0.001229,0.001485,,,0,0
1000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,961,5,0.001233,0.001489,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,1,0.004102,0.004953,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,2,0.004116,0.004968,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,3,0.004114,0.004962,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,4,0.004121,0.004973,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,3844,5,0.004069,0.004921,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,1,0.004127,0.004973,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,2,0.004123,0.004957,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,3,0.004120,0.004960,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,4,0.004114,0.004947,,,0,0
2000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,3844,5,0.004063,0.004901,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,1,0.010645,0.012559,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,2,0.010612,0.012531,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,3,0.010588,0.012506,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,4,0.010567,0.012494,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,8649,5,0.010576,0.012489,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,1,0.010577,0.012500,,,0,0
