signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,0.031523,0.031523,3.083,97.788,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,0.032183,0.032183,3.071,95.422,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,0.031147,0.031147,2.982,95.739,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,0.030555,0.030555,2.896,94.795,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,0.030619,0.030619,2.976,97.190,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,0.298960,0.298960,28.862,96.541,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,0.296407,0.296407,28.565,96.371,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,0.302295,0.302295,29.111,96.301,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,0.296809,0.296809,28.621,96.429,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,0.313499,0.313499,30.016,95.746,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,2.982565,2.982565,288.674,96.787,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,2.989857,2.989857,288.419,96.466,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,2.947941,2.947941,285.424,96.822,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,2.955284,2.955284,285.888,96.738,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,2.965748,2.965748,286.187,96.497,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,29.831854,29.831854,2860.335,95.882,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,30.255800,30.255800,2893.270,95.627,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,29.757041,29.757041,2851.871,95.839,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,29.877837,29.877837,2865.661,95.913,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,30.133469,30.133469,2883.545,95.692,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,59.100399,59.100399,5659.281,95.757,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,58.475913,58.475913,5632.105,96.315,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,58.729164,58.729164,5648.136,96.173,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,58.353863,58.353863,5612.199,96.175,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,58.608265,58.608265,5629.262,96.049,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,88.378396,88.378396,8430.948,95.396,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,88.938802,88.938802,8482.641,95.376,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,87.759519,87.759519,8385.393,95.550,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,87.743708,87.743708,8366.458,95.351,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,87.807797,87.807797,8367.541,95.294,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,115.221555,115.221555,10996.249,95.436,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,114.835769,114.835769,10987.816,95.683,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,114.506391,114.506391,10957.604,95.694,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,114.643694,114.643694,10959.198,95.594,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,114.496198,114.496198,10949.726,95.634,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,145.385424,145.385424,13841.173,95.203,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,144.081944,144.081944,13748.368,95.420,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,146.375453,146.375453,13903.506,94.985,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,142.884483,142.884483,13641.271,95.471,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,143.438800,143.438800,13686.223,95.415,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,0.123625,0.123625,11.516,93.156,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,0.121961,0.121961,11.305,92.692,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,0.124944,0.124944,11.546,92.409,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,0.120988,0.120988,11.217,92.714,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,0.122139,0.122139,11.264,92.221,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,1.229180,1.229180,114.262,92.958,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,1.200131,1.200131,111.760,93.123,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,1.223566,1.223566,113.863,93.058,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,1.209578,1.209578,112.924,93.358,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,1.226859,1.226859,113.852,92.800,0,0,,,,0
1000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,12.108747,12.108747,1138.922,94.058,0,0,,,,0
1000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,12.063888,12.063888,1116.307,92.533,0,0,,,,0
1000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,12.021265,12.021265,1113.267,92.608,0,0,,,,0
1000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,12.050745,12.050745,1114.844,92.512,0,0,,,,0
1000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,11.993230,11.993230,1112.797,92.785,0,0,,,,0
10000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,118.666613,118.666613,11080.064,93.371,0,0,,,,0
10000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,118.935921,118.935921,11092.759,93.267,0,0,,,,0
10000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,118.704428,118.704428,11052.812,93.112,0,0,,,,0
10000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,118.733951,118.733951,11061.978,93.166,0,0,,,,0
10000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,119.853602,119.853602,11137.409,92.925,0,0,,,,0
20000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,237.234181,237.234181,22021.880,92.828,0,0,,,,0
20000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,236.210605,236.210605,21928.205,92.833,0,0,,,,0
20000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,236.789341,236.789341,21920.703,92.575,0,0,,,,0
20000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,236.481193,236.481193,21919.544,92.690,0,0,,,,0
20000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,236.584581,236.584581,21877.510,92.472,0,0,,,,0
30000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,350.476360,350.476360,32527.771,92.810,0,0,,,,0
30000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,353.280412,353.280412,32753.586,92.713,0,0,,,,0
30000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,354.360892,354.360892,32916.243,92.889,0,0,,,,0
30000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,350.942751,350.942751,32650.543,93.037,0,0,,,,0
30000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,349.539293,349.539293,32451.222,92.840,0,0,,,,0
40000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,470.627384,470.627384,43900.841,93.282,0,0,,,,0
40000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,470.338927,470.338927,44019.242,93.590,0,0,,,,0
40000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,467.425546,467.425546,43666.683,93.420,0,0,,,,0
40000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,463.642811,463.642811,43159.228,93.087,0,0,,,,0
40000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,462.626892,462.626892,43113.068,93.192,0,0,,,,0
50000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,1,577.123850,577.123850,53110.240,92.026,0,0,,,,0
50000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,2,575.919995,575.919995,53050.026,92.114,0,0,,,,0
50000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,3,577.393452,577.393452,53053.033,91.884,0,0,,,,0
50000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,4,578.128288,578.128288,53165.918,91.962,0,0,,,,0
50000000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-16,5,578.901166,578.901166,53281.119,92.038,0,0,,,,0
