alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.80,1,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,1,0,0,,,,0
lower26,literal,512,16,10000,0.80,2,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,2,0,0,,,,0
lower26,literal,512,16,10000,0.80,3,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,3,0,0,,,,0
lower26,literal,512,16,10000,0.80,4,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,4,0,0,,,,0
lower26,literal,512,16,10000,0.80,5,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,5,0,0,,,,0
lower26,literal,512,16,10000,0.80,6,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,6,0,0,,,,0
lower26,literal,512,16,10000,0.80,7,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,7,0,0,,,,0
lower26,literal,512,16,10000,0.80,8,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,8,0,0,,,,0
lower26,literal,512,16,10000,0.80,9,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,9,0,0,,,,0
lower26,literal,512,16,10000,0.80,10,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,10,0,0,,,,0
lower26,literal,512,16,10000,0.80,11,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,11,0,0,,,,0
lower26,literal,512,16,10000,0.80,12,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,12,0,0,,,,0
lower26,literal,512,16,10000,0.80,13,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,13,0,0,,,,0
lower26,literal,512,16,10000,0.80,14,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,14,0,0,,,,0
lower26,literal,512,16,10000,0.80,15,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,15,0,0,,,,0
lower26,literal,512,16,10000,0.80,16,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,16,0,0,,,,0
lower26,literal,512,16,10000,0.80,17,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,17,0,0,,,,0
lower26,literal,512,16,10000,0.80,18,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,18,0,0,,,,0
lower26,literal,512,16,10000,0.80,19,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,19,0,0,,,,0
lower26,literal,512,16,10000,0.80,20,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,20,0,0,,,,0
lower26,literal,512,16,10000,0.80,21,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,21,0,0,,,,0
lower26,literal,512,16,10000,0.80,22,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,22,0,0,,,,0
lower26,literal,512,16,10000,0.80,23,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,23,0,0,,,,0
lower26,literal,512,16,10000,0.80,24,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,24,0,0,,,,0
lower26,literal,512,16,10000,0.80,25,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,25,0,0,,,,0
lower26,literal,512,16,10000,0.80,26,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,26,0,0,,,,0
lower26,literal,512,16,10000,0.80,27,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,27,0,0,,,,0
lower26,literal,512,16,10000,0.80,28,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,28,0,0,,,,0
lower26,literal,512,16,10000,0.80,29,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,29,0,0,,,,0
lower26,literal,512,16,10000,0.80,30,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,30,0,0,,,,0
lower26,literal,512,16,10000,0.80,31,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,31,0,0,,,,0
lower26,literal,512,16,10000,0.80,32,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,32,0,0,,,,0
lower26,literal,512,16,10000,0.80,33,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,33,0,0,,,,0
lower26,literal,512,16,10000,0.80,34,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,34,0,0,,,,0
lower26,literal,512,16,10000,0.80,35,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,35,0,0,,,,0
lower26,literal,512,16,10000,0.80,36,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,36,0,0,,,,0
lower26,literal,512,16,10000,0.80,37,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,37,0,0,,,,0
lower26,literal,512,16,10000,0.80,38,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,38,0,0,,,,0
lower26,literal,512,16,10000,0.80,39,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,39,0,0,,,,0
lower26,literal,512,16,10000,0.80,40,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,40,0,0,,,,0
lower26,literal,512,16,10000,0.80,41,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,41,0,0,,,,0
lower26,literal,512,16,10000,0.80,42,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,42,0,0,,,,0
lower26,literal,512,16,10000,0.80,43,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,43,0,0,,,,0
lower26,literal,512,16,10000,0.80,44,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,44,0,0,,,,0
lower26,literal,512,16,10000,0.80,45,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,45,0,0,,,,0
lower26,literal,512,16,10000,0.80,46,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,46,0,0,,,,0
lower26,literal,512,16,10000,0.80,47,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,47,0,0,,,,0
lower26,literal,512,16,10000,0.80,48,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,48,0,0,,,,0
lower26,literal,512,16,10000,0.80,49,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,49,0,0,,,,0
lower26,literal,512,16,10000,0.80,50,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,50,0,0,,,,0
lower26,literal,512,16,10000,0.80,51,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,51,0,0,,,,0
lower26,literal,512,16,10000,0.80,52,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,52,0,0,,,,0
lower26,literal,512,16,10000,0.80,53,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,53,0,0,,,,0
lower26,literal,512,16,10000,0.80,54,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,54,0,0,,,,0
lower26,literal,512,16,10000,0.80,55,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,55,0,0,,,,0
lower26,literal,512,16,10000,0.80,56,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,56,0,0,,,,0
lower26,literal,512,16,10000,0.80,57,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,57,0,0,,,,0
lower26,literal,512,16,10000,0.80,58,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,58,0,0,,,,0
lower26,literal,512,16,10000,0.80,59,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,59,0,0,,,,0
lower26,literal,512,16,10000,0.80,60,1,1,1356,13,12,0
