signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000340,0.000355,,,1,0.000,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000341,0.000357,,,0,0.000,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000339,0.000353,,,0,0.000,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000339,0.000353,,,1,9.820,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000339,0.000352,,,0,0.000,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000615,0.000629,,,0,0.000,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000615,0.000630,,,1,0.000,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000614,0.000628,,,1,0.000,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000613,0.000628,,,1,0.000,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000614,0.000628,,,0,0.000,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000530,0.000547,,,0,0.000,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000530,0.000545,,,0,0.000,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000529,0.000543,,,1,0.000,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000529,0.000542,,,0,0.000,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000529,0.000543,,,0,0.000,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.001073,0.001088,,,1,0.000,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.001074,0.001089,,,1,0.000,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.001072,0.001086,,,1,0.000,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.001072,0.001087,,,1,0.000,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.001072,0.001086,,,1,0.000,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.004703,0.004718,0.316,99.960,4,10.146,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.004704,0.004719,0.316,99.960,4,0.000,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.004702,0.004717,0.418,99.960,5,0.000,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.004703,0.004717,0.316,99.960,4,0.000,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.004721,0.004735,0.419,99.960,5,0.000,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.009961,0.009977,0.972,102.466,10,0.000,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.009959,0.009975,0.864,102.466,9,0.000,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.009958,0.009972,0.979,103.295,10,0.000,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.009958,0.009976,0.887,105.231,9,14.642,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.009958,0.009973,0.995,105.231,10,0.000,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.045477,0.045494,4.541,102.708,43,0.000,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.045452,0.045469,4.678,105.910,43,21.365,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.045603,0.045619,5.048,114.183,43,0.000,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.045600,0.045615,5.339,118.030,44,0.000,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,5,0.045451,0.045467,5.513,124.761,43,21.685,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.096839,0.096856,9.622,100.424,92,19.887,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.096841,0.096858,10.619,110.701,92,20.516,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.096991,0.097007,11.713,122.251,92,20.317,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.096988,0.097005,12.688,132.431,92,20.379,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,5,0.097050,0.097065,13.606,141.983,92,19.008,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,1,0.090886,0.090905,8.256,91.111,87,21.465,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,2,0.090944,0.090961,9.485,104.698,87,22.136,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,3,0.090891,0.090907,10.831,119.561,87,21.983,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,4,0.090943,0.090959,11.895,132.866,86,21.988,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,5,0.090889,0.090905,13.161,147.015,86,21.958,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,1,0.193827,0.193846,20.677,107.355,184,41.032,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,2,0.193824,0.193845,25.867,133.569,185,41.028,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,3,0.193824,0.193840,30.654,159.155,184,41.094,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,4,0.193818,0.193854,35.481,184.212,184,41.122,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,5,0.193827,0.193849,39.012,202.524,184,41.033,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,1,0.136280,0.136298,13.671,101.497,129,45.525,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,2,0.136262,0.136281,16.254,119.699,130,20.690,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,3,0.136285,0.136302,19.378,142.714,130,45.463,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,4,0.136291,0.136311,22.658,166.800,130,20.553,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,5,0.136284,0.136300,25.264,187.369,129,22.394,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,1,0.290480,0.290501,36.850,127.316,276,61.678,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,2,0.290490,0.290513,47.650,164.626,276,61.545,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,3,0.290483,0.290501,57.603,198.983,276,61.415,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,4,0.290479,0.290498,59.424,205.275,276,61.468,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,5,0.290478,0.290496,59.443,205.343,276,61.496,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,1,0.181481,0.181499,19.537,108.537,172,45.603,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,2,0.181629,0.181648,24.999,138.891,172,45.296,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,3,0.181632,0.181649,30.356,167.684,173,45.131,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,4,0.181628,0.181644,35.413,195.624,173,45.474,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,5,0.181628,0.181649,40.011,220.985,173,44.971,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,1,0.387071,0.387091,55.509,143.684,368,81.371,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,2,0.387170,0.387194,74.160,191.947,368,80.923,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,3,0.387169,0.387188,78.044,202.019,368,81.083,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,4,0.387165,0.387185,77.909,201.671,368,80.815,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,5,0.387148,0.387166,77.778,201.884,367,81.192,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.226970,0.226988,27.391,121.044,216,45.120,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.226969,0.226987,35.535,157.737,215,68.107,0,,,,0
