signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,512,1,0.003941,0.003941,0.258,65.409,1917,0.258,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,512,2,0.004183,0.004183,0.263,62.802,2031,0.262,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,512,3,0.003677,0.003678,0.270,73.384,1788,0.261,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,512,4,0.004438,0.004438,0.264,59.549,2158,0.258,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,512,5,0.004438,0.004438,0.264,59.578,2158,0.270,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,546,1,0.003674,0.003674,0.232,63.135,1905,0.234,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,546,2,0.004057,0.004057,0.239,59.031,2098,0.240,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,546,3,0.004057,0.004057,0.239,59.034,2103,0.240,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,546,4,0.004057,0.004057,0.239,59.034,2101,0.240,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,546,5,0.004057,0.004057,0.239,59.031,2101,0.240,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,154,1,0.013143,0.013143,0.878,66.803,1922,0.877,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,154,2,0.013361,0.013362,0.881,65.963,1954,0.909,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,154,3,0.013362,0.013362,0.882,66.015,1954,0.865,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,154,4,0.013361,0.013362,0.880,65.914,1954,0.865,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,154,5,0.013362,0.013813,0.910,65.915,2020,0.910,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,220,1,0.011275,0.011275,0.764,67.795,2355,0.749,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,220,2,0.011682,0.011682,0.758,64.888,2440,0.775,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,220,3,0.011682,0.011682,0.758,64.912,2440,0.744,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,220,4,0.011682,0.011682,0.758,64.907,2440,0.775,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,220,5,0.011682,0.011683,0.759,64.973,2441,0.745,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,19,1,0.109651,0.109654,7.819,71.351,1978,7.950,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,19,2,0.116340,0.116342,7.821,67.255,2099,7.509,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,19,3,0.116339,0.116343,7.794,67.027,2099,7.865,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,19,4,0.116339,0.116343,7.816,67.214,2099,7.867,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,19,5,0.116339,0.116342,7.818,67.228,2099,7.874,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,20,1,0.097460,0.097463,6.588,67.615,1847,6.489,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,20,2,0.078852,0.078854,7.014,89.039,1497,7.209,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,20,3,0.100454,0.100458,6.768,67.440,1907,6.783,0,,,,0
