signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,738,1,0.002677,0.002677,0.159,59.582,1876,0.156,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,738,2,0.002677,0.002677,0.160,59.807,1876,0.156,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,738,3,0.002677,0.002677,0.160,59.837,1875,0.164,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,738,4,0.002677,0.002677,0.160,59.830,1876,0.156,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,738,5,0.002677,0.002677,0.160,59.818,1876,0.164,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,835,1,0.002400,0.002401,0.152,63.181,1903,0.153,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,835,2,0.002622,0.002622,0.156,59.517,2079,0.158,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,835,3,0.002393,0.002393,0.155,64.740,1897,0.149,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,835,4,0.002228,0.002228,0.161,72.522,1766,0.164,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,835,5,0.002622,0.002622,0.156,59.551,2079,0.158,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,263,1,0.007584,0.007584,0.498,65.732,1892,0.508,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,263,2,0.007584,0.007585,0.504,66.458,1894,0.485,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,263,3,0.007584,0.007585,0.503,66.361,1893,0.485,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,263,4,0.007584,0.007584,0.504,66.431,1894,0.510,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,263,5,0.007584,0.007585,0.503,66.416,1894,0.510,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,274,1,0.007273,0.007273,0.473,65.129,1892,0.481,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,274,2,0.007273,0.007273,0.476,65.545,1892,0.483,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,274,3,0.007273,0.007273,0.476,65.522,1892,0.459,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,274,4,0.007273,0.007273,0.476,65.475,1893,0.483,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,274,5,0.007273,0.007273,0.476,65.528,1892,0.483,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,31,1,0.063997,0.063999,4.330,67.692,1884,4.481,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,31,2,0.050323,0.050324,4.763,94.710,1481,4.653,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,31,3,0.063373,0.063377,4.577,72.245,1866,4.632,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,31,4,0.064799,0.064802,4.398,67.893,1908,4.420,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,31,5,0.064798,0.064801,4.397,67.900,1907,4.421,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,33,1,0.061829,0.061831,4.093,66.252,1934,4.092,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,33,2,0.061829,0.061831,4.135,66.889,1938,4.303,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,33,3,0.061829,0.061831,4.138,66.936,1938,4.097,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,33,4,0.061829,0.061832,4.138,66.971,1937,4.098,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,33,5,0.061829,0.061831,4.132,66.874,1937,4.096,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,1,0.628295,0.628315,42.797,68.153,2386,41.314,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,2,0.628297,0.628321,42.802,68.160,2386,43.093,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,3,0.566925,0.566938,43.440,76.673,2153,45.090,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,4,0.550393,0.550411,45.982,83.606,2090,45.915,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,5,0.628297,0.628310,42.898,68.318,2386,43.122,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,1,0.599044,0.599064,40.207,67.153,2272,40.758,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,2,0.599051,0.599076,40.291,67.260,2273,40.723,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,3,0.599054,0.599068,40.289,67.264,2276,40.751,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,4,0.599043,0.599062,40.279,67.245,2276,39.053,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,5,0.599043,0.599057,40.158,67.045,2276,40.747,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,1,1.014262,1.014302,90.321,89.049,1924,91.247,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,2,1.216887,1.216919,88.819,73.021,2311,87.278,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,3,1.255908,1.255951,85.757,68.309,2385,86.160,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,4,1.255908,1.255938,85.780,68.308,2383,86.228,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,5,1.255905,1.255948,85.770,68.321,2385,86.250,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,1,1.183510,1.183548,80.600,68.120,2248,78.923,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,2,1.197380,1.197412,80.487,67.268,2273,81.519,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,3,1.197376,1.197414,80.521,67.271,2274,81.472,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,4,1.197376,1.197407,80.445,67.209,2274,78.058,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,5,1.068146,1.068167,82.464,77.219,2029,86.673,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,1,1.883512,1.883559,128.546,68.277,3573,130.952,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,2,1.883515,1.883553,128.614,68.304,3574,127.531,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,3,1.883511,1.883554,128.672,68.330,3571,127.571,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,4,1.883520,1.883554,128.607,68.297,3574,130.977,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,5,1.743823,1.743847,131.094,75.192,3309,129.726,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,1,1.791815,1.791865,121.096,67.609,3399,119.228,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,2,1.795720,1.795756,120.562,67.159,3407,122.251,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,3,1.795716,1.795744,120.734,67.258,3404,122.224,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,4,1.795716,1.795764,120.739,67.239,3408,118.815,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,5,1.781370,1.781405,119.782,67.243,3382,123.444,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,2.510165,2.510216,171.115,68.207,2383,172.082,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,2.510244,2.510291,171.113,68.208,2383,172.189,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,2.510111,2.510187,171.166,68.231,2383,172.136,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,2.510153,2.510215,171.295,68.278,2383,172.295,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,2.510160,2.510203,171.205,68.215,2381,172.223,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,2.393039,2.393120,160.719,67.195,2272,162.947,0,,,,0
