signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5316,1,0.000337,0.000337,0.039,116.164,1703,0.040,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5316,2,0.000337,0.000337,0.040,117.480,1703,0.040,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5316,3,0.000337,0.000337,0.040,117.235,1703,0.040,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5316,4,0.000337,0.000337,0.039,117.009,1703,0.040,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5316,5,0.000337,0.000337,0.039,116.813,1703,0.039,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3050,1,0.000612,0.000612,0.068,110.537,1773,0.071,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3050,2,0.000612,0.000612,0.070,114.085,1774,0.071,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3050,3,0.000612,0.000612,0.070,113.980,1773,0.067,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3050,4,0.000612,0.000612,0.070,113.718,1774,0.071,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3050,5,0.000612,0.000612,0.069,113.546,1773,0.071,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3453,1,0.000528,0.000528,0.094,178.223,1730,0.110,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3453,2,0.000528,0.000528,0.112,213.415,1730,0.111,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3453,3,0.000528,0.000528,0.113,213.585,1731,0.118,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3453,4,0.000528,0.000528,0.112,213.039,1730,0.111,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3453,5,0.000528,0.000528,0.113,213.805,1731,0.111,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1797,1,0.001071,0.001071,0.187,174.669,1829,0.215,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1797,2,0.001071,0.001071,0.211,197.059,1829,0.208,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1797,3,0.001072,0.001072,0.212,197.659,1829,0.209,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1797,4,0.001071,0.001071,0.212,197.546,1829,0.220,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1797,5,0.001071,0.001071,0.211,197.349,1829,0.209,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,422,1,0.004700,0.004701,0.910,193.621,1885,1.021,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,422,2,0.004701,0.004701,1.069,227.606,1884,1.079,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,422,3,0.004701,0.004701,1.069,227.593,1884,1.079,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,422,4,0.004701,0.004701,1.070,227.903,1884,1.080,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,422,5,0.004701,0.004701,1.071,227.902,1885,1.080,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,201,1,0.009956,0.009957,1.780,178.909,1901,2.033,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,201,2,0.009956,0.009957,2.045,205.480,1901,2.043,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,201,3,0.009956,0.009957,2.047,205.679,1901,2.043,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,201,4,0.009956,0.009957,2.041,205.100,1901,2.042,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,201,5,0.009956,0.009957,2.043,205.263,1902,2.042,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,44,1,0.045526,0.045527,8.910,195.787,1903,10.490,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,44,2,0.045526,0.045527,10.599,232.937,1903,10.599,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,44,3,0.045523,0.045524,10.622,233.434,1903,10.605,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,44,4,0.045525,0.045527,10.619,233.368,1903,11.149,0,,,,0
10000000,512,16,literal,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,44,5,0.045522,0.045523,10.597,232.883,1903,10.587,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,21,1,0.096967,0.096970,17.461,180.194,1934,20.863,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,21,2,0.096972,0.096974,20.190,208.267,1935,19.836,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,21,3,0.096973,0.096975,20.244,208.830,1935,19.900,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,21,4,0.096956,0.096959,20.255,208.942,1935,19.899,0,,,,0
10000000,512,16,literal,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,21,5,0.096968,0.096970,20.270,209.207,1934,19.912,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,22,1,0.090899,0.090902,17.814,196.038,1900,21.113,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,22,2,0.090899,0.090901,21.168,233.085,1899,22.271,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,22,3,0.090895,0.090897,21.138,232.639,1900,21.148,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,22,4,0.090892,0.090894,21.175,233.174,1899,21.197,0,,,,0
20000000,512,16,literal,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,22,5,0.090896,0.090898,21.242,233.790,1900,21.256,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,11,1,0.193743,0.193748,36.094,186.430,2024,41.688,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,11,2,0.193764,0.193768,40.306,208.103,2025,39.724,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,11,3,0.193701,0.193706,40.436,208.873,2024,39.885,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,11,4,0.193759,0.193763,40.477,208.983,2025,41.788,0,,,,0
20000000,512,16,literal,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,11,5,0.193735,0.193740,40.504,209.131,2025,39.907,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,15,1,0.136273,0.136276,27.195,199.607,1942,30.979,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,15,2,0.136274,0.136278,31.704,232.757,1942,32.600,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,15,3,0.136273,0.136276,31.651,232.366,1942,30.970,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,15,4,0.136275,0.136278,31.787,233.370,1942,32.663,0,,,,0
30000000,512,16,literal,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,15,5,0.136271,0.136274,31.790,233.325,1943,31.131,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,7,1,0.290473,0.290478,55.030,189.595,1931,59.435,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,7,2,0.290481,0.290488,60.434,208.123,1932,62.480,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,7,3,0.290457,0.290463,60.523,208.432,1932,59.575,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,7,4,0.290473,0.290478,60.529,208.451,1932,62.565,0,,,,0
30000000,512,16,literal,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,7,5,0.290479,0.290487,60.479,208.279,1932,59.514,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,12,1,0.181622,0.181625,37.229,205.005,2071,42.453,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,12,2,0.181624,0.181629,42.016,231.505,2070,42.453,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,12,3,0.181616,0.181620,42.053,231.599,2071,42.478,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,12,4,0.181617,0.181622,42.208,232.561,2070,40.738,0,,,,0
40000000,512,16,literal,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,12,5,0.181608,0.181612,42.310,233.011,2071,42.715,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,6,1,0.387111,0.387118,75.563,195.231,2207,79.467,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,6,2,0.387133,0.387143,80.287,207.545,2206,83.074,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,6,3,0.387127,0.387135,80.278,207.429,2207,79.522,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,6,4,0.387074,0.387084,80.521,208.046,2207,79.710,0,,,,0
40000000,512,16,literal,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA H200 NVL,6,5,0.387038,0.387049,80.495,208.084,2206,83.288,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,9,1,0.226968,0.226974,46.619,205.548,1940,53.977,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,9,2,0.226968,0.226974,52.487,231.441,1940,51.489,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,9,3,0.226969,0.226974,52.641,232.122,1940,54.167,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,9,4,0.226968,0.226972,52.638,232.103,1940,51.607,0,,,,0
50000000,512,16,literal,registers,on,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,9,5,0.226966,0.226970,52.723,232.486,1940,54.222,0,,,,0
50000000,512,16,literal,registers,off,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,5,1,0.483836,0.483847,96.021,198.552,2298,103.462,0,,,,0
50000000,512,16,literal,registers,off,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,5,2,0.483834,0.483842,99.870,206.433,2299,99.137,0,,,,0
50000000,512,16,literal,registers,off,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,5,3,0.483829,0.483836,100.254,207.318,2298,99.524,0,,,,0
50000000,512,16,literal,registers,off,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,5,4,0.483799,0.483806,100.407,207.631,2298,99.637,0,,,,0
50000000,512,16,literal,registers,off,0.8,32,781250,first,-1,1,gpu,NVIDIA H200 NVL,5,5,0.483827,0.483838,100.430,207.681,2298,103.842,0,,,,0
10000,1024,32,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1537,1,0.001242,0.001242,0.145,117.116,1814,0.143,0,,,,0
10000,1024,32,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1537,2,0.001242,0.001242,0.144,116.147,1813,0.143,0,,,,0
10000,1024,32,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1537,3,0.001242,0.001242,0.144,115.971,1814,0.143,0,,,,0
10000,1024,32,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1537,4,0.001242,0.001242,0.144,115.910,1813,0.143,0,,,,0
10000,1024,32,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1537,5,0.001242,0.001242,0.144,115.862,1814,0.151,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,775,1,0.002537,0.002537,0.280,110.664,1867,0.281,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,775,2,0.002536,0.002536,0.291,115.007,1867,0.297,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,775,3,0.002537,0.002537,0.291,114.932,1868,0.296,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,775,4,0.002535,0.002535,0.291,114.938,1867,0.297,0,,,,0
10000,1024,32,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,775,5,0.002536,0.002536,0.291,114.770,1867,0.281,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,972,1,0.002017,0.002017,0.369,182.892,1863,0.423,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,972,2,0.002017,0.002017,0.439,217.519,1863,0.448,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,972,3,0.002017,0.002017,0.439,217.617,1863,0.448,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,972,4,0.002017,0.002017,0.437,216.687,1862,0.424,0,,,,0
100000,1024,32,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,972,5,0.002017,0.002017,0.439,218.047,1862,0.449,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,351,1,0.005663,0.005664,0.955,168.666,1889,1.049,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,351,2,0.005667,0.005667,1.066,188.226,1890,1.073,0,,,,0
100000,1024,32,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,351,3,0.005667,0.005667,1.068,188.487,1890,1.074,0,,,,0
