signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.002609,0.002634,,,0,,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.002611,0.002640,,,0,,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.002609,0.002634,,,0,,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.002609,0.002634,,,0,,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.002609,0.002635,,,0,,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.002556,0.002580,,,0,,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.002556,0.002582,,,0,,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.002556,0.002580,,,0,,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.002516,0.002540,,,0,,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.002426,0.002449,,,0,,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.007011,0.007035,,,0,,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.007011,0.007038,,,0,,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.007010,0.007034,,,0,,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.007009,0.007034,,,0,,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.007010,0.007034,,,0,,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.006177,0.006200,,,0,,0,,,,0
