signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000355,0.000370,,,0,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000356,0.000371,,,0,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000355,0.000368,,,0,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000355,0.000369,,,0,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000355,0.000368,,,0,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000697,0.000712,,,0,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000697,0.000712,,,0,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000696,0.000710,,,0,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000696,0.000710,,,0,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000696,0.000709,,,0,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000566,0.000581,,,0,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000566,0.000580,,,0,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000565,0.000579,,,0,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000565,0.000579,,,0,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000565,0.000578,,,0,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.001050,0.001065,,,0,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.001050,0.001065,,,0,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.001049,0.001062,,,0,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.001049,0.001062,,,0,0,,,,0
100000,512,16,literal,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.001048,0.001061,,,0,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.004863,0.004878,,,0,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.004863,0.004878,,,0,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.004861,0.004875,,,0,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.004861,0.004875,,,0,0,,,,0
1000000,512,16,literal,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.004861,0.004874,,,0,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.009978,0.009993,,,0,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.009982,0.009997,,,0,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.009980,0.009994,,,0,0,,,,0
1000000,512,16,literal,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.009980,0.009993,,,0,0,,,,0
