signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.006435,0.006462,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.006436,0.006464,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.006434,0.006461,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.006435,0.006460,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.006434,0.006460,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.005662,0.005687,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.005663,0.005692,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.005662,0.005688,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.005662,0.005689,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.005662,0.005687,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.011074,0.011098,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.011074,0.011099,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.011074,0.011099,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.011075,0.011098,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.011075,0.011098,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.010566,0.010589,,,0,,0,,,,0
