signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000870,0.000885,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000870,0.000886,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000869,0.000883,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000869,0.000883,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000869,0.000883,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,0.000830,0.000844,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,2,0.000828,0.000842,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3,0.000828,0.000849,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4,0.000827,0.000840,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,5,0.000828,0.000841,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.001167,0.001182,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.001169,0.001184,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.001167,0.001181,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.001163,0.001178,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.001163,0.001177,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,0.001346,0.001361,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,2,0.001345,0.001360,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3,0.001345,0.001359,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,4,0.001344,0.001359,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,5,0.001344,0.001359,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.010240,0.010256,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.010237,0.010252,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.010236,0.010250,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.010230,0.010244,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.010240,0.010253,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,0.011669,0.011686,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,2,0.011668,0.011683,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,3,0.011668,0.011682,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,4,0.011668,0.011682,,,0,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,5,0.011668,0.011682,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.098707,0.098724,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.098714,0.098730,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.098707,0.098724,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.099001,0.099017,,,0,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,5,0.098821,0.098836,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,1,0.113216,0.113233,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,2,0.113270,0.113288,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,3,0.113036,0.113052,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,4,0.113036,0.113051,,,0,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA H200 NVL,5,0.113035,0.113052,,,0,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,1,0.197463,0.197482,,,0,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,2,0.197151,0.197169,,,0,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,3,0.197463,0.197480,,,0,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,4,0.197148,0.197164,,,0,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,5,0.197462,0.197478,,,0,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,1,0.226204,0.226224,,,0,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,2,0.226066,0.226084,,,0,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,3,0.226200,0.226217,,,0,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,4,0.225828,0.225845,,,0,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA H200 NVL,5,0.226004,0.226021,,,0,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,1,0.295821,0.295839,,,0,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,2,0.295900,0.295919,,,0,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,3,0.295887,0.295904,,,0,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,4,0.295634,0.295658,,,0,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA H200 NVL,5,0.295883,0.295899,,,0,0,,,,0
