signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.000873,0.000888,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.000873,0.000888,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.000872,0.000886,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.000872,0.000886,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.000873,0.000886,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.000828,0.000842,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.000827,0.000841,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.000827,0.000841,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.000826,0.000839,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.000827,0.000840,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.001163,0.001177,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.001162,0.001178,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.001160,0.001176,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.001161,0.001175,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.001158,0.001174,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.001353,0.001367,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.001354,0.001368,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.001350,0.001364,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.001349,0.001364,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.001348,0.001363,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.010210,0.010225,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.010212,0.010226,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.010209,0.010223,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.010210,0.010224,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.010209,0.010223,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.011646,0.011662,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.011645,0.011660,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.011646,0.011660,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.011651,0.011665,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.011646,0.011659,,,0,,0,,,,0
10000,1024,32,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.002199,0.002214,,,0,,0,,,,0
10000,1024,32,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.002197,0.002212,,,0,,0,,,,0
10000,1024,32,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.002198,0.002214,,,0,,0,,,,0
10000,1024,32,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.002197,0.002211,,,0,,0,,,,0
10000,1024,32,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.002198,0.002212,,,0,,0,,,,0
10000,1024,32,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.002082,0.002097,,,0,,0,,,,0
10000,1024,32,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.002080,0.002095,,,0,,0,,,,0
10000,1024,32,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.002081,0.002095,,,0,,0,,,,0
10000,1024,32,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.002080,0.002094,,,0,,0,,,,0
10000,1024,32,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.002080,0.002093,,,0,,0,,,,0
100000,1024,32,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.004282,0.004296,,,0,,0,,,,0
100000,1024,32,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.004277,0.004291,,,0,,0,,,,0
100000,1024,32,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.004282,0.004296,,,0,,0,,,,0
100000,1024,32,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.004294,0.004307,,,0,,0,,,,0
100000,1024,32,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.004296,0.004309,,,0,,0,,,,0
100000,1024,32,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.004971,0.004986,,,0,,0,,,,0
