alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.50,1,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,1,0,0,,,,0
lower26,literal,512,16,10000,0.50,2,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,2,0,0,,,,0
lower26,literal,512,16,10000,0.50,3,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,3,0,0,,,,0
lower26,literal,512,16,10000,0.50,4,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,4,0,0,,,,0
lower26,literal,512,16,10000,0.50,5,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,5,0,0,,,,0
lower26,literal,512,16,10000,0.50,6,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,6,0,0,,,,0
lower26,literal,512,16,10000,0.50,7,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,7,0,0,,,,0
lower26,literal,512,16,10000,0.50,8,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,8,0,0,,,,0
lower26,literal,512,16,10000,0.50,9,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,9,0,0,,,,0
lower26,literal,512,16,10000,0.50,10,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,10,0,0,,,,0
lower26,literal,512,16,10000,0.50,11,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,11,0,0,,,,0
lower26,literal,512,16,10000,0.50,12,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,12,0,0,,,,0
lower26,literal,512,16,10000,0.50,13,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,13,0,0,,,,0
lower26,literal,512,16,10000,0.50,14,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,14,0,0,,,,0
lower26,literal,512,16,10000,0.50,15,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,15,0,0,,,,0
lower26,literal,512,16,10000,0.50,16,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,16,0,0,,,,0
lower26,literal,512,16,10000,0.50,17,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,17,0,0,,,,0
lower26,literal,512,16,10000,0.50,18,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,18,0,0,,,,0
lower26,literal,512,16,10000,0.50,19,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,19,0,0,,,,0
lower26,literal,512,16,10000,0.50,20,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,20,0,0,,,,0
lower26,literal,512,16,10000,0.50,21,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,21,0,0,,,,0
lower26,literal,512,16,10000,0.50,22,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,22,0,0,,,,0
lower26,literal,512,16,10000,0.50,23,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,23,0,0,,,,0
lower26,literal,512,16,10000,0.50,24,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,24,0,0,,,,0
lower26,literal,512,16,10000,0.50,25,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,25,0,0,,,,0
lower26,literal,512,16,10000,0.50,26,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,26,0,0,,,,0
lower26,literal,512,16,10000,0.50,27,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,27,0,0,,,,0
lower26,literal,512,16,10000,0.50,28,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,28,0,0,,,,0
lower26,literal,512,16,10000,0.50,29,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,29,0,0,,,,0
lower26,literal,512,16,10000,0.50,30,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,30,0,0,,,,0
lower26,literal,512,16,10000,0.50,31,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,31,0,0,,,,0
lower26,literal,512,16,10000,0.50,32,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,32,0,0,,,,0
lower26,literal,512,16,10000,0.50,33,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,33,0,0,,,,0
lower26,literal,512,16,10000,0.50,34,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,34,0,0,,,,0
lower26,literal,512,16,10000,0.50,35,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,35,0,0,,,,0
lower26,literal,512,16,10000,0.50,36,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,36,0,0,,,,0
lower26,literal,512,16,10000,0.50,37,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,37,0,0,,,,0
lower26,literal,512,16,10000,0.50,38,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,38,0,0,,,,0
lower26,literal,512,16,10000,0.50,39,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,39,0,0,,,,0
lower26,literal,512,16,10000,0.50,40,1,1,1356,9,8,0
