signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4801,1,0.000365,0.000365,0.046,125.090,1664,0.042,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4801,2,0.000365,0.000365,0.041,113.460,1664,0.042,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4801,3,0.000365,0.000365,0.041,113.466,1664,0.040,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4801,4,0.000365,0.000365,0.041,113.284,1664,0.042,0,,,,0
10000,512,16,literal,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,4801,5,0.000365,0.000365,0.041,113.101,1664,0.040,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3312,1,0.000560,0.000560,0.065,116.274,1767,0.066,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3312,2,0.000560,0.000560,0.068,122.138,1766,0.070,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3312,3,0.000560,0.000560,0.068,121.994,1767,0.070,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3312,4,0.000560,0.000560,0.068,121.752,1767,0.066,0,,,,0
10000,512,16,literal,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,3312,5,0.000560,0.000560,0.068,121.765,1767,0.070,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3825,1,0.000482,0.000482,0.092,191.975,1751,0.111,0,,,,0
100000,512,16,literal,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,3825,2,0.000482,0.000482,0.111,229.507,1751,0.108,0,,,,0
