signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.004468,0.004491,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.004469,0.004495,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.004468,0.004492,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.004467,0.004490,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.004469,0.004492,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.003275,0.003298,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.003166,0.003190,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.003162,0.003186,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.003163,0.003186,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.003163,0.003186,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.010846,0.010868,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.010847,0.010870,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.010844,0.010868,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.010844,0.010867,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.010845,0.010869,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.008569,0.008591,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.008568,0.008593,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.008568,0.008592,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.008568,0.008591,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.008568,0.008591,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.099498,0.099521,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.099497,0.099521,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.099497,0.099521,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.099502,0.099525,,,0,,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.099498,0.099521,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.084647,0.084671,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.084665,0.084691,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.084650,0.084675,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.084649,0.084673,,,0,,0,,,,0
1000000,512,16,regex,registers,off,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.084646,0.084669,,,0,,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,1.245922,1.245962,,,0,,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,1.245899,1.245930,,,0,,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,1.245899,1.245966,,,0,,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,1.245998,1.246042,,,0,,0,,,,0
10000000,512,16,regex,registers,on,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,1.246013,1.246081,,,0,,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,0.911164,0.911200,,,0,,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,0.923581,0.923610,,,0,,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,0.923678,0.923706,,,0,,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,0.923679,0.923707,,,0,,0,,,,0
10000000,512,16,regex,registers,off,0.8,32,156250,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,0.731860,0.731925,,,0,,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,2.490697,2.490745,,,0,,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,2.490567,2.490634,,,0,,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,2.490388,2.490439,,,0,,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,2.490353,2.490386,,,0,,0,,,,0
20000000,512,16,regex,registers,on,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,2.490524,2.490590,,,0,,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,1.433927,1.433969,,,0,,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,1.824525,1.824557,,,0,,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,1.846484,1.846552,,,0,,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,1.846491,1.846542,,,0,,0,,,,0
20000000,512,16,regex,registers,off,0.8,32,312500,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,1.846482,1.846520,,,0,,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,3.734989,3.735038,,,0,,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,3.734985,3.735058,,,0,,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,3.213069,3.213121,,,0,,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,3.734965,3.735036,,,0,,0,,,,0
30000000,512,16,regex,registers,on,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,3.734938,3.734990,,,0,,0,,,,0
30000000,512,16,regex,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,2.769159,2.769232,,,0,,0,,,,0
30000000,512,16,regex,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,2.769153,2.769218,,,0,,0,,,,0
30000000,512,16,regex,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,2.601839,2.601906,,,0,,0,,,,0
30000000,512,16,regex,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,2.414066,2.414111,,,0,,0,,,,0
30000000,512,16,regex,registers,off,0.8,32,468750,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,2.769152,2.769190,,,0,,0,,,,0
40000000,512,16,regex,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,4.977468,4.977519,,,0,,0,,,,0
40000000,512,16,regex,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,2,4.424280,4.424355,,,0,,0,,,,0
40000000,512,16,regex,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,3,4.978741,4.978825,,,0,,0,,,,0
40000000,512,16,regex,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,4,4.978279,4.978370,,,0,,0,,,,0
40000000,512,16,regex,registers,on,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,5,4.978547,4.978637,,,0,,0,,,,0
40000000,512,16,regex,registers,off,0.8,32,625000,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,1,3.690932,3.690974,,,0,,0,,,,0
