signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,repeat,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.000460,0.000474,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.000459,0.000474,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.000459,0.000473,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.000459,0.000472,,,0,,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.000459,0.000472,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.000574,0.000589,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.000574,0.000589,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.000573,0.000587,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.000574,0.000587,,,0,,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.000574,0.000587,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.000846,0.000861,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,2,0.000845,0.000860,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,3,0.000844,0.000858,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,4,0.000844,0.000858,,,0,,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,5,0.000843,0.000857,,,0,,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA H200 NVL,1,1,0.001283,0.001298,,,0,,0,,,,0
