nodes,target,layout,dpx,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,coalesced,on,per-launch,256,1000,1,0.008549,0.008804,,,0,0
1000,gpu,coalesced,on,per-launch,256,1000,2,0.008548,0.008800,,,0,0
1000,gpu,coalesced,on,per-launch,256,1000,3,0.008538,0.008787,,,0,0
1000,gpu,coalesced,on,per-launch,256,1000,4,0.008543,0.008790,,,0,0
1000,gpu,coalesced,on,per-launch,256,1000,5,0.008544,0.008793,,,0,0
1000,gpu,coalesced,off,per-launch,256,1000,1,0.008573,0.008827,,,0,0
1000,gpu,coalesced,off,per-launch,256,1000,2,0.008573,0.008827,,,0,0
1000,gpu,coalesced,off,per-launch,256,1000,3,0.008574,0.008828,,,0,0
1000,gpu,coalesced,off,per-launch,256,1000,4,0.008575,0.008831,,,0,0
1000,gpu,coalesced,off,per-launch,256,1000,5,0.008586,0.008839,,,0,0
1000,gpu,coalesced,on,none,256,1000,1,0.004171,0.004423,,,0,0
1000,gpu,coalesced,on,none,256,1000,2,0.004174,0.004426,,,0,0
1000,gpu,coalesced,on,none,256,1000,3,0.004174,0.004431,,,0,0
1000,gpu,coalesced,on,none,256,1000,4,0.004177,0.004429,,,0,0
1000,gpu,coalesced,on,none,256,1000,5,0.004174,0.004427,,,0,0
1000,gpu,coalesced,off,none,256,1000,1,0.004175,0.004430,,,0,0
1000,gpu,coalesced,off,none,256,1000,2,0.004175,0.004428,,,0,0
1000,gpu,coalesced,off,none,256,1000,3,0.004172,0.004427,,,0,0
1000,gpu,coalesced,off,none,256,1000,4,0.004173,0.004430,,,0,0
1000,gpu,coalesced,off,none,256,1000,5,0.004172,0.004426,,,0,0
2000,gpu,coalesced,on,per-launch,256,1056,1,0.025014,0.025843,,,0,0
2000,gpu,coalesced,on,per-launch,256,1056,2,0.025007,0.025831,,,0,0
2000,gpu,coalesced,on,per-launch,256,1056,3,0.024997,0.025823,,,0,0
2000,gpu,coalesced,on,per-launch,256,1056,4,0.025000,0.025823,,,0,0
2000,gpu,coalesced,on,per-launch,256,1056,5,0.024955,0.025782,,,0,0
2000,gpu,coalesced,off,per-launch,256,1056,1,0.025014,0.025838,,,0,0
2000,gpu,coalesced,off,per-launch,256,1056,2,0.025056,0.025883,,,0,0
2000,gpu,coalesced,off,per-launch,256,1056,3,0.025031,0.025854,,,0,0
2000,gpu,coalesced,off,per-launch,256,1056,4,0.025057,0.025877,,,0,0
