nodes,target,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,coalesced,on,always,none,256,864,1,0.038088,0.038888,,,0,0
1000,gpu,coalesced,on,always,none,256,864,2,0.038324,0.039120,,,0,0
1000,gpu,coalesced,on,always,none,256,864,3,0.038787,0.039579,,,0,0
1000,gpu,coalesced,on,always,none,256,864,4,0.032338,0.033134,,,0,0
1000,gpu,coalesced,on,always,none,256,864,5,0.038471,0.039261,,,0,0
1000,gpu,coalesced,off,always,none,256,864,1,0.038756,0.039562,,,0,0
1000,gpu,coalesced,off,always,none,256,864,2,0.034457,0.035228,,,0,0
1000,gpu,coalesced,off,always,none,256,864,3,0.038269,0.039049,,,0,0
1000,gpu,coalesced,off,always,none,256,864,4,0.039119,0.039893,,,0,0
1000,gpu,coalesced,off,always,none,256,864,5,0.038739,0.039504,,,0,0
1000,gpu,coalesced,on,changed,none,256,864,1,0.033813,0.034596,,,0,0
1000,gpu,coalesced,on,changed,none,256,864,2,0.029327,0.030094,,,0,0
1000,gpu,coalesced,on,changed,none,256,864,3,0.032778,0.033549,,,0,0
1000,gpu,coalesced,on,changed,none,256,864,4,0.033531,0.034288,,,0,0
1000,gpu,coalesced,on,changed,none,256,864,5,0.034178,0.034942,,,0,0
1000,gpu,coalesced,off,changed,none,256,864,1,0.040712,0.041536,,,0,0
1000,gpu,coalesced,off,changed,none,256,864,2,0.031372,0.032161,,,0,0
1000,gpu,coalesced,off,changed,none,256,864,3,0.039335,0.040118,,,0,0
1000,gpu,coalesced,off,changed,none,256,864,4,0.040979,0.041765,,,0,0
1000,gpu,coalesced,off,changed,none,256,864,5,0.041218,0.041994,,,0,0
2000,gpu,coalesced,on,always,none,256,864,1,0.200779,0.203869,,,0,0
2000,gpu,coalesced,on,always,none,256,864,2,0.202314,0.205102,,,0,0
2000,gpu,coalesced,on,always,none,256,864,3,0.203816,0.206588,,,0,0
2000,gpu,coalesced,on,always,none,256,864,4,0.202799,0.205570,,,0,0
2000,gpu,coalesced,on,always,none,256,864,5,0.203436,0.206200,,,0,0
2000,gpu,coalesced,off,always,none,256,864,1,0.289442,0.292625,,,0,0
2000,gpu,coalesced,off,always,none,256,864,2,0.282463,0.285263,,,0,0
2000,gpu,coalesced,off,always,none,256,864,3,0.287331,0.290116,,,0,0
2000,gpu,coalesced,off,always,none,256,864,4,0.285235,0.287865,,,0,0
2000,gpu,coalesced,off,always,none,256,864,5,0.285587,0.290033,,,0,0
2000,gpu,coalesced,on,changed,none,256,864,1,0.239209,0.242405,,,0,0
2000,gpu,coalesced,on,changed,none,256,864,2,0.237491,0.240301,,,0,0
2000,gpu,coalesced,on,changed,none,256,864,3,0.239019,0.241800,,,0,0
2000,gpu,coalesced,on,changed,none,256,864,4,0.237860,0.240644,,,0,0
2000,gpu,coalesced,on,changed,none,256,864,5,0.238986,0.241776,,,0,0
2000,gpu,coalesced,off,changed,none,256,864,1,0.151905,0.154855,,,0,0
2000,gpu,coalesced,off,changed,none,256,864,2,0.153512,0.156589,,,0,0
2000,gpu,coalesced,off,changed,none,256,864,3,0.158579,0.161419,,,0,0
2000,gpu,coalesced,off,changed,none,256,864,4,0.157834,0.160733,,,0,0
2000,gpu,coalesced,off,changed,none,256,864,5,0.157508,0.160371,,,0,0
6000,gpu,coalesced,on,always,none,256,864,1,7.085123,7.113583,,,0,0
6000,gpu,coalesced,on,always,none,256,864,2,6.928039,6.956620,,,0,0
6000,gpu,coalesced,on,always,none,256,864,3,6.754771,6.783550,,,0,0
6000,gpu,coalesced,on,always,none,256,864,4,7.091638,7.120210,,,0,0
6000,gpu,coalesced,on,always,none,256,864,5,7.071502,7.099675,,,0,0
6000,gpu,coalesced,off,always,none,256,864,1,6.625674,6.654081,,,0,0
6000,gpu,coalesced,off,always,none,256,864,2,7.096163,7.124587,,,0,0
6000,gpu,coalesced,off,always,none,256,864,3,7.086683,7.115162,,,0,0
6000,gpu,coalesced,off,always,none,256,864,4,7.104542,7.133088,,,0,0
6000,gpu,coalesced,off,always,none,256,864,5,6.545052,6.573297,,,0,0
6000,gpu,coalesced,on,changed,none,256,864,1,4.890168,4.918787,,,0,0
6000,gpu,coalesced,on,changed,none,256,864,2,4.885569,4.914231,,,0,0
6000,gpu,coalesced,on,changed,none,256,864,3,4.890852,4.919333,,,0,0
6000,gpu,coalesced,on,changed,none,256,864,4,4.868591,4.897060,,,0,0
6000,gpu,coalesced,on,changed,none,256,864,5,4.229508,4.258107,,,0,0
6000,gpu,coalesced,off,changed,none,256,864,1,4.563445,4.591921,,,0,0
6000,gpu,coalesced,off,changed,none,256,864,2,4.559540,4.588062,,,0,0
6000,gpu,coalesced,off,changed,none,256,864,3,4.558385,4.586955,,,0,0
6000,gpu,coalesced,off,changed,none,256,864,4,4.564713,4.593305,,,0,0
6000,gpu,coalesced,off,changed,none,256,864,5,3.896501,3.924709,,,0,0
