nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,1000,1,0.014709,0.014964,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,1000,2,0.014703,0.014958,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,1000,3,0.014682,0.014933,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,1000,4,0.014691,0.014941,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,1000,5,0.014688,0.014944,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,1000,1,0.014645,0.014897,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,1000,2,0.014652,0.014903,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,1000,3,0.014654,0.014906,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,1000,4,0.014661,0.014912,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,1000,5,0.014656,0.014908,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,2000,1,0.045349,0.046178,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,2000,2,0.045292,0.046127,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,2000,3,0.045264,0.046093,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,2000,4,0.045272,0.046106,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,2000,5,0.045348,0.046176,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,2000,1,0.045192,0.046064,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,2000,2,0.045218,0.046053,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,2000,3,0.045249,0.046082,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,2000,4,0.045267,0.046104,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,2000,5,0.045249,0.046085,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,3000,1,0.092618,0.094517,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,3000,2,0.092653,0.094569,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,3000,3,0.092673,0.094592,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,3000,4,0.092863,0.094777,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,3000,5,0.092661,0.094574,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,3000,1,0.097571,0.099445,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,3000,2,0.097569,0.099467,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,3000,3,0.097442,0.099364,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,3000,4,0.097573,0.099484,,,0,0
3000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,32,3000,5,0.097453,0.099367,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,1,1.032103,1.039657,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,32,4224,2,1.032265,1.039852,,,0,0
