nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.025121,0.025121,2.309,91.901,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.025018,0.025018,2.315,92.515,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.025153,0.025153,2.404,95.569,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.028413,0.028413,2.627,92.449,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.027245,0.027245,2.619,96.123,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.105645,0.105645,12.369,117.078,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.106914,0.106914,12.427,116.229,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.103306,0.103306,12.175,117.850,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.100924,0.100924,11.946,118.362,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.105404,0.105404,12.449,118.106,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.306020,0.306020,39.312,128.464,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.274343,0.274343,36.605,133.428,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.289209,0.289209,37.852,130.880,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.282464,0.282464,37.281,131.986,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.283548,0.283548,37.438,132.036,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,11.016893,11.016893,1254.340,113.856,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,10.895165,10.895165,1247.287,114.481,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,10.764919,10.764919,1231.489,114.398,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,10.813068,10.813068,1239.191,114.601,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,10.490470,10.490470,1206.098,114.971,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,100.852700,100.852700,11662.812,115.642,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,102.163682,102.163682,11790.957,115.412,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,101.793956,101.793956,11806.907,115.988,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,102.084355,102.084355,11817.730,115.764,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,102.122800,102.122800,11801.856,115.565,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,559.123885,559.123885,2096.654,3.750,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,556.889151,556.889151,1855.741,3.332,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,557.198407,557.198407,1721.063,3.089,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,555.881437,555.881437,1650.113,2.968,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,559.020996,559.020996,2085.865,3.731,0,0
