nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.006075,0.006075,,,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.006067,0.006067,,,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.006134,0.006134,,,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.006132,0.006132,,,0,0
1000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.006120,0.006120,,,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.023982,0.023982,,,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.023909,0.023909,,,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.023937,0.023937,,,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.024107,0.024107,,,0,0
2000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.023956,0.023956,,,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,0.074925,0.074925,,,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,0.074909,0.074909,,,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,0.074811,0.074811,,,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,0.074789,0.074789,,,0,0
3000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,0.074829,0.074829,,,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,1.243133,1.243133,,,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,1.246247,1.246247,,,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,1.251039,1.251039,,,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,1.244768,1.244768,,,0,0
6000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,1.248509,1.248509,,,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,19.108920,19.108920,,,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,19.094893,19.094893,,,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,3,19.084298,19.084298,,,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,4,19.085466,19.085466,,,0,0
12000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,5,19.092080,19.092080,,,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,1,179.128451,179.128451,,,0,0
24000,cpu,openmp-16,n/a,n/a,n/a,n/a,0,0,2,179.115366,179.115366,,,0,0
