nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,1,0.005313,0.006146,0.308,72.957,5,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,2,0.005322,0.006166,0.308,72.957,5,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,3,0.005314,0.006139,0.405,76.680,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,4,0.005314,0.006142,0.414,78.542,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,5,0.005319,0.006138,0.414,78.542,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,1,0.005280,0.006110,0.382,72.486,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.005282,0.006086,0.382,72.486,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.005283,0.006079,0.382,72.486,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.005282,0.006078,0.382,72.486,6,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.005275,0.006071,0.382,72.486,6,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.022605,0.025648,1.769,72.957,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.022613,0.025449,1.777,73.422,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.022618,0.025444,1.905,78.542,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.022614,0.025441,1.987,78.542,25,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,5,0.022578,0.025392,1.904,78.542,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,1,0.022339,0.025333,1.762,72.679,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,2,0.022339,0.025118,1.755,72.404,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,3,0.022336,0.025091,1.756,72.404,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,4,0.022321,0.025072,1.755,72.404,24,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,5,0.022295,0.025043,1.834,75.642,24,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,1,0.062448,0.069148,5.224,76.308,66,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,2,0.062418,0.069100,4.978,72.719,66,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,3,0.062406,0.068987,4.956,72.404,66,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,4,0.062395,0.068953,5.030,74.621,65,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,5,0.062386,0.068941,5.084,74.262,66,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,1,0.064883,0.071647,5.535,78.382,68,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,2,0.064883,0.071593,6.134,86.878,68,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,3,0.064871,0.071506,5.425,76.874,68,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,4,0.064843,0.071551,5.115,72.434,68,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,5,0.064863,0.071510,5.135,72.753,68,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,1,0.504785,0.533057,41.246,77.553,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,2,0.504675,0.532965,40.158,75.373,507,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,3,0.504727,0.532852,40.097,75.399,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,4,0.504705,0.532885,39.761,74.766,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,5,0.504725,0.532939,39.492,74.251,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,1,0.504776,0.533371,39.258,73.674,507,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,2,0.504731,0.533340,40.420,76.001,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,3,0.504727,0.533299,40.217,75.467,507,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,4,0.504735,0.533317,40.125,75.440,506,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,5,0.504692,0.533257,42.638,80.179,506,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,1,3.858745,3.971564,368.792,92.869,3772,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,2,3.278183,3.390860,259.742,76.624,3220,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,3,3.858907,3.971181,298.862,75.287,3771,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,4,3.858833,3.971491,301.218,75.873,3771,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,5,3.858799,3.971167,302.186,76.118,3771,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,1,3.858874,3.973064,301.448,75.894,3769,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,2,3.858899,3.972875,327.431,82.459,3769,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,3,3.390114,3.504219,301.541,86.075,3328,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,4,3.858535,3.972452,296.607,74.690,3772,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,5,3.858573,3.971979,302.120,76.094,3771,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,1,29.979758,30.428237,2360.228,77.572,28884,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,2,29.939908,30.387913,2366.014,77.866,28843,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,3,29.949789,30.397733,2374.645,78.123,28862,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,4,29.997104,30.445757,2392.701,78.593,28893,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,5,29.940371,30.388251,2365.132,77.835,28852,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,1,29.938832,30.393143,2368.648,77.938,28826,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,2,29.997629,30.451855,2375.119,78.000,28882,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,3,29.938592,30.392914,2387.916,78.571,28833,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,4,29.985484,30.439260,2391.494,78.567,28870,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,5,29.940281,30.393947,2384.846,78.468,28830,0
