nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,3.162356,3.163500,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,3.162053,3.163215,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,2.914276,2.915389,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,3.163199,3.164313,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,3.160764,3.161567,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,3.169844,3.171013,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,3.160433,3.161563,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,3.159577,3.160689,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,3.161225,3.162408,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,3.164795,3.165621,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,6.375195,6.378292,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,6.382768,6.385919,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,6.375691,6.378791,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,6.151258,6.154374,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,6.383716,6.386780,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,3.129971,3.131081,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,2.985969,2.987066,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,3.156505,3.157574,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,3.161398,3.162469,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,3.155043,3.155791,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,3.153230,3.154374,,,0,0
