nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.021623,0.022407,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.021647,0.022435,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.021658,0.022441,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.021664,0.022449,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.021623,0.022403,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.020814,0.021571,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.020822,0.021592,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.020825,0.021587,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.020818,0.021578,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.020819,0.021576,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.095905,0.098933,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.095958,0.098826,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.095908,0.098727,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.095890,0.098700,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.096226,0.099284,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.088542,0.091501,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.088510,0.091279,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.088540,0.091288,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.088508,0.091262,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.088534,0.091280,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,0.252722,0.259274,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,0.252968,0.259752,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,0.242881,0.249577,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,0.207177,0.213717,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,0.206920,0.213574,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,0.202392,0.208914,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,0.238331,0.244940,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,3,0.202541,0.209005,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,4,0.202437,0.208731,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,5,0.202392,0.208915,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,1,1.789863,1.818711,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,2,1.459450,1.488284,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,3,1.609920,1.638727,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,4,1.789737,1.818221,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,on,changed,per-launch,256,864,5,1.789431,1.818312,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,1,1.651711,1.679999,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,coalesced,off,changed,per-launch,256,864,2,1.388887,1.417554,,,0,0
