nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,1,0.292603,0.293473,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,2,0.287170,0.288012,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,3,0.291134,0.291965,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,4,0.204771,0.205599,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,5,0.292150,0.292985,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,1,0.201348,0.202203,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.281175,0.282007,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.269176,0.269992,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.279050,0.279867,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.278706,0.279531,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.594188,0.597276,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.585718,0.589009,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.575654,0.578766,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.621572,0.624638,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,5,0.623122,0.626163,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,1,0.619607,0.622596,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,2,0.622578,0.625564,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,3,0.621750,0.624749,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,4,0.622570,0.625550,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,5,0.622651,0.625646,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,1,0.905605,0.912253,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,2,0.957646,0.964562,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,3,0.958723,0.965587,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,4,0.959871,0.966739,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,5,0.931162,0.937827,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,1,0.872045,0.878677,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,2,0.958227,0.964736,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,3,0.957561,0.964077,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,4,0.847913,0.854412,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,5,0.842014,0.848634,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,1,2.934091,2.963375,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,2,2.930544,2.959739,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,3,2.937818,2.966980,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,4,2.935145,2.964153,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,5,2.943281,2.972379,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,1,2.936542,2.964342,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,2,2.337271,2.365105,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,3,2.576023,2.603862,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,4,2.943350,2.971236,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,5,2.945895,2.973766,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,1,13.173288,13.285993,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,2,14.005021,14.117891,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,3,13.075676,13.188683,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,4,13.994424,14.106554,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,5,13.130688,13.243623,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,1,13.190602,13.302271,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,2,14.005849,14.117375,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,3,13.880208,13.991686,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,4,13.323244,13.434375,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,5,13.996511,14.107807,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,1,88.034391,88.490564,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,2,87.990953,88.446981,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,3,88.125227,88.581511,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,4,88.052906,88.508582,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,5,88.069164,88.524961,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,1,88.022445,88.478061,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,2,65.659383,66.114685,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,3,88.645500,89.101590,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,4,88.507523,88.962540,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,5,88.445437,88.901594,,,0,0
