nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,1,0.005344,0.006162,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,2,0.005342,0.006178,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,3,0.005341,0.006149,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,4,0.005350,0.006160,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,961,5,0.005341,0.006149,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,1,0.004910,0.005737,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.004914,0.005709,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.004910,0.005700,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.004905,0.005693,,,0,0
1000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.004910,0.005696,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.022874,0.025900,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.022882,0.025704,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.022873,0.025659,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.022874,0.025657,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,5,0.022844,0.025626,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,1,0.022879,0.025828,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,2,0.022881,0.025798,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,3,0.024133,0.027049,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,4,0.024986,0.027869,,,0,0
2000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,5,0.024954,0.027839,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,1,0.068154,0.074774,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,2,0.068147,0.074713,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,3,0.068138,0.074654,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,4,0.068109,0.074621,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,5,0.068100,0.074604,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,1,0.061704,0.068206,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,2,0.061722,0.068154,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,3,0.061683,0.068109,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,4,0.061663,0.068038,,,0,0
3000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,8649,5,0.061669,0.068000,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,1,0.392434,0.420802,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,2,0.392425,0.420942,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,3,0.392409,0.420774,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,4,0.411132,0.439529,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,34969,5,0.504686,0.533086,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,1,0.484891,0.513162,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,2,0.484848,0.512959,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,3,0.500533,0.528678,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,4,0.504660,0.532797,,,0,0
6000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,34969,5,0.504651,0.532735,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,1,3.858377,3.974188,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,2,3.858355,3.974062,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,3,3.858333,3.974192,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,4,3.858323,3.974363,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,139876,5,3.373315,3.488628,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,1,3.858370,3.970360,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,2,3.858317,3.970379,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,3,3.858310,3.970518,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,4,3.858334,3.970428,,,0,0
12000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,139876,5,3.858364,3.970242,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,1,29.996057,30.458309,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,2,29.976529,30.437412,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,3,29.939201,30.400770,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,4,29.957113,30.417872,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,561001,5,29.995510,30.456947,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,1,29.996533,30.458326,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,2,29.937543,30.399653,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,3,29.996191,30.457707,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,4,29.938225,30.399667,,,0,0
24000,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,561001,5,29.984297,30.445928,,,0,0
