signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,0.010507,0.010507,,,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,0.010505,0.010505,,,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,0.010502,0.010502,,,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,0.010502,0.010502,,,0,0,,,,0
10000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,0.010503,0.010503,,,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,0.104897,0.104897,,,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,0.105048,0.105048,,,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,0.105071,0.105071,,,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,0.106283,0.106283,,,0,0,,,,0
100000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,0.105132,0.105132,,,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,1.050677,1.050677,,,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,1.050867,1.050867,,,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,1.051300,1.051300,,,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,1.051315,1.051315,,,0,0,,,,0
1000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,1.050935,1.050935,,,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,10.518924,10.518924,,,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,10.518934,10.518934,,,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,10.524273,10.524273,,,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,10.522767,10.522767,,,0,0,,,,0
10000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,10.522313,10.522313,,,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,20.998931,20.998931,,,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,20.997050,20.997050,,,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,20.996870,20.996870,,,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,20.995517,20.995517,,,0,0,,,,0
20000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,20.999313,20.999313,,,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,31.484949,31.484949,,,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,31.481490,31.481490,,,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,31.471539,31.471539,,,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,31.483455,31.483455,,,0,0,,,,0
30000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,31.483205,31.483205,,,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,42.005119,42.005119,,,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,42.004606,42.004606,,,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,42.013236,42.013236,,,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,42.010295,42.010295,,,0,0,,,,0
40000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,42.006827,42.006827,,,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,52.491663,52.491663,,,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,52.493613,52.493613,,,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,52.489766,52.489766,,,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,52.489282,52.489282,,,0,0,,,,0
50000000,512,16,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,52.492540,52.492540,,,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,0.039393,0.039393,,,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,0.039424,0.039424,,,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,0.039433,0.039433,,,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,4,0.039440,0.039440,,,0,0,,,,0
10000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,5,0.039450,0.039450,,,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,1,0.394257,0.394257,,,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,2,0.394394,0.394394,,,0,0,,,,0
100000,1024,32,literal,n/a,n/a,0.8,0,0,first,-1,1,cpu,openmp-32,3,0.394781,0.394781,,,0,0,,,,0
