signatures,payload,sig_len,mode,rows,dpx,alpha,block_threads,grid_blocks,exit,plant,seed,target,gpu,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,found,report_sig,report_score,report_pos,mismatches
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.006449,0.006475,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.006450,0.006479,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.006448,0.006475,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.006448,0.006476,,,0,0,,,,0
10000,512,16,regex,registers,on,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.006448,0.006473,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.005597,0.005622,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.005599,0.005625,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.005597,0.005622,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.005597,0.005622,,,0,0,,,,0
10000,512,16,regex,registers,off,0.8,32,157,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.005598,0.005621,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.013796,0.013821,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.013801,0.013827,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.013802,0.013826,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.013801,0.013826,,,0,0,,,,0
100000,512,16,regex,registers,on,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.013796,0.013820,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.013633,0.013659,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.013637,0.013663,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.013634,0.013659,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,4,0.013637,0.013664,,,0,0,,,,0
100000,512,16,regex,registers,off,0.8,32,1563,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,5,0.013636,0.013661,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,1,0.098691,0.098726,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,2,0.098695,0.098728,,,0,0,,,,0
1000000,512,16,regex,registers,on,0.8,32,15625,first,-1,1,gpu,NVIDIA A100-SXM4-40GB,3,0.098687,0.098713,,,0,0,,,,0
